Almac�n;CODIGO;Desc. c�digo;Stock;Caducidad;Ubicaci�n;Precio;Importe;P.de Venta;Importe Venta;Dif. Precio;Dif. Importe;ABC;Familia;Descripci�n;Desc. c�digo;VA_COLOR;VA_COLOR2;VA_TOOLTIP
1;200941;ACOFARMA NESIRA GEL LECHE ALGODON 1 ENVASE 750 ML;0;;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL LECHE ALGODON 1 ENVASE 750 ML;;;
1;202452;ACOFARMA NESIRA GOTAS CON DOBLE HUMECTACION AH 20 MONODOSIS 0,35 ML;0;nov-27;;;;0;;;;;101;Parafarmacia;ACOFARMA NESIRA GOTAS CON DOBLE HUMECTACION AH 20 MONODOSIS 0,35 ML;;;
1;200950;ACOFARMA NESIRA JABON DE MANOS ACEITE DE OLIVA 1 ENVASE 500 ML;0;dic-28;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA JABON DE MANOS ACEITE DE OLIVA 1 ENVASE 500 ML;;;
1;200952;ACOFARMA NESIRA JABON DE MANOS EXTRACTO DE GRANADA 1 ENVASE 500 ML;0;dic-28;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA JABON DE MANOS EXTRACTO DE GRANADA 1 ENVASE 500 ML;;;
1;200953;ACOFARMA NESIRA JABON MANOS ALMENDRAS DULCES Y MIEL 1 ENVASE 500 ML;0;;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA JABON MANOS ALMENDRAS DULCES Y MIEL 1 ENVASE 500 ML;;;
1;200951;ACOFARMA NESIRA JABON MANOS ALOE VERA 1 ENVASE 500 ML;0;;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA JABON MANOS ALOE VERA 1 ENVASE 500 ML;;;
1;200954;ACOFARMA NESIRA JABON MANOS CERO 1 ENVASE 500 ML;0;dic-50;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA JABON MANOS CERO 1 ENVASE 500 ML;;;
1;210980;ACOFARMA NESIRA JABON MANOS ESPUMA ARANDANO 1 ENVASE 250 ML;0;;;;;0;;;;;101;Parafarmacia;ACOFARMA NESIRA JABON MANOS ESPUMA ARANDANO 1 ENVASE 250 ML;;;
1;210981;ACOFARMA NESIRA JABON MANOS ESPUMA COCO 1 ENVASE 250 ML;0;;;;;0;;;;;101;Parafarmacia;ACOFARMA NESIRA JABON MANOS ESPUMA COCO 1 ENVASE 250 ML;;;
1;198875;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 G AROMA FLOR DE LOTO;0;dic-29;;0;0;2,95;0;2,95;0;;102;Dermofarmacia;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 G AROMA FLOR DE LOTO;;;
1;198877;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 G AROMA LIRIO DE AGUA;0;dic-28;;0;0;2,95;0;2,95;0;;102;Dermofarmacia;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 G AROMA LIRIO DE AGUA;;;
1;198876;ACOFARMA NESIRA JABON PASTILLA MANOS 1 ENVASE 100 G AROMA ROSA CORAL;0;feb-30;;0;0;2,95;0;2,95;0;;102;Dermofarmacia;ACOFARMA NESIRA JABON PASTILLA MANOS 1 ENVASE 100 G AROMA ROSA CORAL;;;
1;172104;ACOFARMA NESIRA MELATONINA 1,95 MG 60 COMPRIMIDOS;0;ene-28;;0;0;11,95;0;11,95;0;;103;Diet�tica;ACOFARMA NESIRA MELATONINA 1,95 MG 60 COMPRIMIDOS;;;
1;150400;ACOFARMA NESIRA SOLUCION UNICA PARA LENTILLAS 2 UNIDADES 250 ML;0;;;;;0;;;;;106;Efectos y accesorios;ACOFARMA NESIRA SOLUCION UNICA PARA LENTILLAS 2 UNIDADES 250 ML;;;
1;197649;ACOFARMA NESIRA SPF 15 PROTECTOR LABIAL 1 ENVASE 4,5 G;0;ene-28;;0;0;3,95;0;3,95;0;;102;Dermofarmacia;ACOFARMA NESIRA SPF 15 PROTECTOR LABIAL 1 ENVASE 4,5 G;;;
1;198563;ACOFARMA NESIRA SPF 50+ PROTECTOR LABIAL 1 ENVASE 5 G;0;ene-28;;0;0;4,5;0;4,5;0;;102;Dermofarmacia;ACOFARMA NESIRA SPF 50+ PROTECTOR LABIAL 1 ENVASE 5 G;;;
1;184927;ACOFARMA NESIRA SUE�O 30 COMPRIMIDOS;0;abr-28;;;;0;;;;;103;Diet�tica;ACOFARMA NESIRA SUE�O 30 COMPRIMIDOS;;;
1;196471;ACOFARMA NESIRA TOALLITAS PARA HIGIENE OCULAR 30 UNIDADES;0;ene-28;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA TOALLITAS PARA HIGIENE OCULAR 30 UNIDADES;;;
1;203664;ACOFARMA VIVERA CHAMPU ACONDICIONADOR USO DIARIO 1 ENVASE 400 ML;0;;;;;0;;;;;101;Parafarmacia;ACOFARMA VIVERA CHAMPU ACONDICIONADOR USO DIARIO 1 ENVASE 400 ML;;;
1;199108;ACOFARMA VIVERA CREMA DE MANOS 1 ENVASE 30 ML AROMA FLOR DE CEREZO;0;;;;;0;;;;;102;Dermofarmacia;ACOFARMA VIVERA CREMA DE MANOS 1 ENVASE 30 ML AROMA FLOR DE CEREZO;;;
1;199110;ACOFARMA VIVERA CREMA DE MANOS 1 ENVASE 30 ML AROMA FLOR FRESCA DE TE;0;sep-28;;;;0;;;;;102;Dermofarmacia;ACOFARMA VIVERA CREMA DE MANOS 1 ENVASE 30 ML AROMA FLOR FRESCA DE TE;;;
1;190237;ACOFARMA VIVERA DESODORANTE 1 SPRAY 150 ML;0;;;;;0;;;;;102;Dermofarmacia;ACOFARMA VIVERA DESODORANTE 1 SPRAY 150 ML;;;
