Código;Cód. Nacional;Descripción;Unidades;P.C.M.;P.C.M. Línea;P.V.P. Línea;P.V.P.;IVA;Caducidad;
8470001586551;158655;TALQUISTINA CR 50 ML;1;8,04;8,04;11,95;11,95;21,00;01/06/2027;
8470002088726;208872;TALQUISTINA CR HIDRATANTE400ML;1;16,03;16,03;23,95;23,95;21,00;01/11/2027;
8470001893178;189317;TALQUISTINA LOCION 200 ML;1;11,33;11,33;16,95;16,95;21,00;01/02/2027;
8470001527295;152729;TALQUISTINA POLVO 50G;1;6,90;6,90;9,95;9,95;21,00;01/04/2028;
8470006598894;659889;TAMIFLU 30 MG 10 CAPS DURAS;1;12,43;12,43;17,39;17,39;4,00;01/11/2033;
8470007787792;778779;TAMIFLU 75 MG 10 CAPS DURAS;1;21,52;21,52;31,57;31,57;4,00;01/02/2034;
8470008645879;864587;TAMOXIFENO CINFA 20 MG 30 COMP;2;2,80;5,60;10,12;5,06;4,00;01/01/2028;
8470008646784;864678;TAMOXIFENO CINFA 20 MG 60 COMP;1;6,09;6,09;10,12;10,12;4,00;01/05/2028;
8470001788030;178803;TAMPAX COMPACK PEARL SUPER 16;1;3,06;3,06;4,95;4,95;4,00;01/05/2030;
8470001788023;178802;TAMPAX COMPACK PEARL SUPERPL16;1;3,06;3,06;5,95;5,95;4,00;01/11/2029;
8470001788009;178800;TAMPAX COMPACK SUPER 20;1;3,45;3,45;4,95;4,95;4,00;01/02/2030;
8470001788047;178804;TAMPAX COMPAK PEARL REGULAR16;1;3,06;3,06;5,95;5,95;4,00;01/09/2030;
8470001787996;178799;TAMPAX COMPAK REGULAR 22;1;3,62;3,62;5,95;5,95;4,00;01/11/2029;
8470001791771;179177;TAMPAX COMPAK SUPERPLUS 26;1;4,84;4,84;7,95;7,95;4,00;01/07/2030;
8470003155106;315510;TAMPON FARMACONF SUPERPLUS 12;2;3,19;6,38;9,90;4,95;4,00;01/12/2030;
