COD_N1,COD_N2,COD_N3,COD_N4
R,R05,R05F,R05F P2
R,R05,R05F,R05FA
R,R05,R05F,R05FB
R,R05,R05X,R05X M1
R,R05,R05X,R05X P6
R,R05,R05X,R05X P8
R,R05,R05X,R05X P9
R,R06,R06A,R06AA
R,R06,R06A,R06AB
R,R06,R06A,R06AC
R,R06,R06A,R06AD
R,R06,R06A,R06AE
R,R06,R06A,R06AX
R,R07,R07A,R07AA
R,R07,R07A,R07AB
R,R07,R07A,R07AX
S,S01,S01A,S01AA
S,S01,S01A,S01AB
S,S01,S01A,S01AD
S,S01,S01A,S01AE
S,S01,S01A,S01AX
S,S01,S01B,S01BA
S,S01,S01B,S01BB
S,S01,S01B,S01BC
S,S01,S01C,S01CA
S,S01,S01C,S01CB
S,S01,S01C,S01CC
S,S01,S01E,S01EA
S,S01,S01E,S01EB
S,S01,S01E,S01EC
S,S01,S01E,S01ED
S,S01,S01E,S01EE
S,S01,S01E,S01EX
S,S01,S01F,S01FA
S,S01,S01F,S01FB
S,S01,S01G,S01GA
S,S01,S01G,S01GX
S,S01,S01H,S01HA
S,S01,S01J,S01JA
S,S01,S01K,S01KA
S,S01,S01L,S01LA
S,S01,S01X,S01XA
S,S02,S02A,S02AA
S,S02,S02B,S02BA
S,S02,S02C,S02CA
S,S02,S02D,S02DA
S,S02,S02D,S02DC
S,S02,S02D,S02DX
S,S03,S03B,S03BA
S,S03,S03C,S03CA
V,V01,V01A,V01AA
V,V03,V03A,V03A P1
V,V03,V03A,V03AB
V,V03,V03A,V03AC
V,V03,V03A,V03AE
V,V03,V03A,V03AF
V,V03,V03A,V03AG
V,V03,V03A,V03AH
V,V03,V03A,V03AN
V,V03,V03A,V03AX
V,V04,V04C,V04CA
V,V04,V04C,V04CD
V,V04,V04C,V04CF
V,V04,V04C,V04CJ
V,V04,V04C,V04CL
V,V04,V04C,V04CM
V,V04,V04C,V04CX
V,V06,V06D,V06DC
V,V06,V06D,V06DD
V,V06,V06D,V06DX
V,V06,V06S,V06SA
V,V06,V06S,V06SB
V,V06,V06U,V06UA
V,V06,V06U,V06UB
V,V06,V06U,V06UD
V,V06,V06V,V06VD
V,V06,V06V,V06VE
V,V06,V06V,V06VF
V,V06,V06W,V06WG
V,V06,V06X,V06XA
V,V06,V06X,V06XB
V,V06,V06X,V06XC
V,V06,V06Y,V06YS
V,V06,V06Z,V06ZA
V,V06,V06Z,V06ZB
V,V06,V06Z,V06ZC
V,V06,V06Z,V06ZD
V,V06,V06Z,V06ZF
V,V07,V07A,V07AB
V,V08,V08A,V08AA
V,V08,V08A,V08AB
V,V08,V08A,V08AC
V,V08,V08A,V08AD
V,V08,V08B,V08BA
V,V08,V08C,V08CA
V,V08,V08C,V08CB
V,V08,V08D,V08DA
V,V09,V09A,V09AA
V,V09,V09A,V09AB
V,V09,V09A,V09AX
V,V09,V09B,V09BA
V,V09,V09C,V09CA
V,V09,V09C,V09CX
V,V09,V09D,V09DA
V,V09,V09D,V09DB
V,V09,V09D,V09DX
V,V09,V09E,V09EA
V,V09,V09E,V09EB
V,V09,V09F,V09FX
V,V09,V09G,V09GA
V,V09,V09G,V09GX
V,V09,V09H,V09HA
V,V09,V09H,V09HB
V,V09,V09H,V09HX
V,V09,V09I,V09IA
V,V09,V09I,V09IB
V,V09,V09I,V09IX
V,V09,V09X,V09XA
V,V09,V09X,V09XX
V,V10,V10A,V10AA
V,V10,V10A,V10AX
V,V10,V10B,V10BX
V,V10,V10X,V10XA
V,V10,V10X,V10XX
W,W01,W01A,W01AA
W,W01,W01A,W01AB
W,W01,W01A,W01AC
W,W01,W01A,W01AD
W,W01,W01B,W01BA
W,W01,W01B,W01BB
W,W01,W01B,W01BC
W,W01,W01B,W01BD
W,W01,W01B,W01BF
W,W01,W01B,W01BG
W,W07,W07B,W07BA
W,W07,W07B,W07BB
W,W10,W10D,W10DA
W,W10,W10D,W10DB
W,W10,W10D,W10DC
W,W10,W10H,W10HA
X,X01,X01A,X01AB
X,X01,X01B,X01BA
X,X01,X01B,X01BB
X,X01,X01B,X01BC
X,X01,X01B,X01BD
X,X01,X01B,X01BE
X,X01,X01B,X01BF
X,X01,X01B,X01BG
X,X01,X01B,X01BH
X,X01,X01B,X01BI
X,X01,X01B,X01BJ
X,X01,X01B,X01BK
X,X01,X01B,X01BL
X,X01,X01B,X01BM
X,X01,X01B,X01BN
X,X01,X01B,X01BO
X,X01,X01B,X01BX
X,X02,X02A,X02AB
X,X02,X02A,X02AC
X,X02,X02A,X02AD
X,X02,X02A,X02AE
X,X02,X02A,X02AH
X,X02,X02A,X02AI
X,X02,X02A,X02AJ
X,X02,X02A,X02AK
X,X02,X02B,X02BA
X,X02,X02B,X02BB
